Name Of Project,Address,Primary Funding Source/ Assistance Type Description,Primary Expiration Date,Total Units,Restricted/ Assisted Units,Target Group (Senior),Type of Conversion Risk
Buckingham Apts-Ursula,4050 S. Ursula Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),42213,22,22,No,Rental Subsidy Termination
Buckingham Apts-August,4706 W. August Street,HUD Project-Based Section 8 Rental Assistance (PBRA),42213,20,20,No,Rental Subsidy Termination
Buckingham Apts-Gibraltar,3945 S. Gibraltar Ave,HUD Project-Based Section 8 Rental Assistance (PBRA),42213,17,17,No,Rental Subsidy Termination
Urban Rehab I- Main,4057 S Main Street,HUD Project-Based Section 8 Rental Assistance (PBRA),42216,24,24,No,Rental Subsidy Termination
Urban Rehab I-Central,9310 S. Central Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),42216,36,36,No,Rental Subsidy Termination
Regency Manor Apartments,7205 W. Hollywood Blvd.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42242,120,120,Yes,Restriction Expiration
Broadcast Center,7660 W. Beverly Blvd.,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Housing Bond Financing Program (MHBP),42245,279,56,Yes,Restriction Expiration
Project Independence,10454 N. Amestoy Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),42247,24,24,No,Rental Subsidy Termination
Cahuenga Gardens,5301 N. Cahuenga Blvd.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42044,9,9,No,Restriction Expiration
Manhattan Gardens 2/2 (Manhattan 5-Plex),1504 S. Manhattan Pl.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42265,3,3,No,Restriction Expiration
Manhattan Gardens 1/2 (Manhattan 5-Plex),1424 S. Manhattan Pl.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42265,2,2,No,Restriction Expiration
Northridge Park Manor,9628 N. Reseda Blvd.,HUD Project-Based Section 8 Rental Assistance (PBRA),42277,68,68,Yes,Rental Subsidy Termination
Las Casitas Iii 1/2,6845 N. Hinds Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),42307,4,4,No,Rental Subsidy Termination
Las Casitas Iii 2/2,6928 N. Hinds Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),42307,4,4,No,Rental Subsidy Termination
Silverlake Village,3740 Evans St.,HUD Project-Based Section 8 Rental Assistance (PBRA),42308,79,79,Yes,Rental Subsidy Termination
Princess Apts/1,6116 Eleanor Ave,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,40558,16,16,No,Mortgage Maturity/ Prepayment
Princess Apts 4,4335 Woodlawn Ave.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,40558,10,10,No,Mortgage Maturity/ Prepayment
Princess Apts/3,722 N. Van Ness Ave.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,40558,8,8,No,Mortgage Maturity/ Prepayment
Princess Apts/2,1648 N. Kingsley Dr.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,40558,24,24,No,Mortgage Maturity/ Prepayment
Las Casitas Ii,6830 N. Gentry Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),40892,8,8,No,Rental Subsidy Termination
6651 Haskell Avenue Apts,6651 N. Haskell Ave.,City of Los Angeles Land Use Restrictions - Density Bonus,42328,18,4,No,Restriction Expiration
Harold Hotel,323 E. 5Th Street,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),40983,60,60,No,Restriction Expiration
Freeman Villa Apts,1229 N Westmoreland Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),41044,41,41,Yes,Rental Subsidy Termination
De Soto Gardens - 2,8720 N. De Soto Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),42369,248,248,No,Rental Subsidy Termination
7507 Woodman Ave. Apartments,7507 N. Woodman Ave.,City of Los Angeles Land Use Restrictions - Density Bonus,42644,34,9,No,Restriction Expiration
15543 Rayen Apts,15543 W. Rayen St.,City of Los Angeles Land Use Restrictions - Density Bonus,42385,60,12,No,Restriction Expiration
Pleasant Hills Home,1315 E. Pleasant Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),42396,24,24,No,Rental Subsidy Termination
Reseda Park,6505 Reseda Blvd.,HUD Project-Based Section 8 Rental Assistance (PBRA),42400,136,136,Yes,Rental Subsidy Termination
Mountain View Apartments,419 N. Mountain View Ave.,California Housing and Community Development Multifamily Housing Programs (HCD),42400,21,21,No,Restriction Expiration
Billy G. Mills Manor,1104 W. 37Th Pl.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42462,102,102,No,Restriction Expiration
Troy Apartments,3025 S. Royal St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42462,129,128,No,Restriction Expiration
Trojan Apartments,3115 S. Orchard Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42462,151,151,No,Restriction Expiration
Barrington Court Ltd.,4211 N. Laurel Canyon Blvd.,City of Los Angeles Land Use Restrictions,42426,21,21,No,Restriction Expiration
Fairfax Senior Citizen Apts,737 S. Genesee Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),42429,45,45,Yes,Rental Subsidy Termination
Alvarado Gardens,1800 N. Alvarado St.,HUD Project-Based Section 8 Rental Assistance (PBRA),42449,60,60,No,Rental Subsidy Termination
Village Choice I & Ii,16124 Tupper St.,HUD Section 202/811 – Project Rental Assistance Contract (PRAC),42460,14,6,Yes,Rental Subsidy Termination
Compass House,2335 Portland St,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42488,12,12,No,Restriction Expiration
Bridewell Properties,101 N. Bridewell St.,City of Los Angeles Land Use Restrictions - Density Bonus,42488,128,31,No,Restriction Expiration
La Ronde Cooperative (3901 Ursula Ave),3901 Ursula Ave.,California Housing and Community Development Multifamily Housing Programs (HCD),42508,33,19,No,Restriction Expiration
Vista Homes,23210 W. Justice St.,HUD Section 202/811 – Project Rental Assistance Contract (PRAC),42521,8,8,Yes,Rental Subsidy Termination
Ellis Hotel,800 E. 6Th St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42406,60,60,No,Restriction Expiration
617 6Th Avenue Apts,617 S. 6Th Ave.,City of Los Angeles Land Use Restrictions - Mello Act,42619,4,2,No,Restriction Expiration
New Hampshire Apts-1509,1509 S. New Hampshire Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),42551,6,6,No,Rental Subsidy Termination
Las Casitas I 1/2,14222 W. Delano St.,HUD Project-Based Section 8 Rental Assistance (PBRA),42551,3,3,No,Rental Subsidy Termination
Las Casitas I 2/2,11301 W. Hatteras Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),42551,3,3,No,Rental Subsidy Termination
Santa Fe Art Colony,2401 S. Santa Fe Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42376,52,44,No,Restriction Expiration
Hillside Villa Apts,636 N. Hill Pl.,California Housing Finance Agency Multifamily Housing Programs (CalHFA),42376,124,124,No,Restriction Expiration
Hollywood Gardens,5401 W. Lemon Grove Ave,HUD Project-Based Section 8 Rental Assistance (PBRA),42577,101,62,No,Rental Subsidy Termination
Peninsula Committee House,1729 West 252Nd St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42637,11,10,Yes,Restriction Expiration
Panorama City I,14424 W. Plummer St.,HUD Project-Based Section 8 Rental Assistance (PBRA),42640,14,14,No,Rental Subsidy Termination
Panorama City Ii,14414 W. Plummer St.,HUD Project-Based Section 8 Rental Assistance (PBRA),42640,13,13,No,Rental Subsidy Termination
T.c. Apartments,861 N. Bunker Hill Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),40375,20,20,No,Rental Subsidy Termination
Tujunga Gardens,6643 Foothill Blvd,HUD Project-Based Section 8 Rental Assistance (PBRA),42704,54,54,Yes,Rental Subsidy Termination
Foothill Gardens,7687 Foothill Blvd,HUD Project-Based Section 8 Rental Assistance (PBRA),42704,54,54,Yes,Rental Subsidy Termination
La Villa Hermosa,1530 W. Jefferson Blvd.,HUD Project-Based Section 8 Rental Assistance (PBRA),40955,60,59,No,Rental Subsidy Termination
A.i.d.s. Project Los Angeles (Apla Transitional Hsg. (Our House)),1133 S. Lake Street,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),41137,25,25,No,Restriction Expiration
Plummer Park Apts,17051 W. Plummer St.,HUD Project-Based Section 8 Rental Assistance (PBRA),41198,40,40,No,Rental Subsidy Termination
Union Place,1047 S. Bonnie Brae St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42736,16,16,No,Restriction Expiration
967 N. Hill St Apts,967 N. Hill St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42736,5,5,No,Restriction Expiration
1741 Westmoreland Blvd,1741 S. Westmoreland Blvd.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42736,22,22,No,Restriction Expiration
1932 City View Ave,1932 E. City View Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42736,2,1,No,Restriction Expiration
1532 S. Wilton Place,1532 S. Wilton Pl.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42736,14,14,No,Restriction Expiration
Green Houses,1053 S. Bonnie Brae St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42749,9,9,No,Restriction Expiration
"3075-3083 E 6Th Street
- Perez, Rodolfo/Blanca",3075 E 6Th Street,Los Angeles Housing and Community Investment Department (HCIDLA) - Neighborhood Preservation Program (NPP),42751,5,5,No,Restriction Expiration
3101 Sawtelle Blvd.,3101 S. Sawtelle Blvd.,City of Los Angeles Land Use Restrictions,42757,204,10,No,Restriction Expiration
Victory Outreach Trans. Hs.,1801S Toberman St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42765,14,14,No,Restriction Expiration
Woodland Terrace (A.k.a. Woodman Nordhoff Apts),"9133 Woodman Avenue, 14201 W Nordhoff St",HUD Project-Based Section 8 Rental Assistance (PBRA),42766,100,65,No,Rental Subsidy Termination
Parthenia Manor,14906 Parthenia St,HUD Project-Based Section 8 Rental Assistance (PBRA),42794,88,88,Yes,Rental Subsidy Termination
Park Western Estates,1301 Park Western Drive,HUD Project-Based Section 8 Rental Assistance (PBRA),42809,216,216,No,Rental Subsidy Termination
Pledgerville Senior Citizens V,11060 Norris Ave.,HUD Section 202/811 Non-profit Elderly and Handicapped Mortgage Program,42739,94,93,Yes,Mortgage Maturity/ Prepayment
Pilgrim Tower,1207 S. Vermont Ave.,HUD Section 202 Supportive Housing for the Elderly,42739,111,97,Yes,Mortgage Maturity/ Prepayment
Village Way,20661 W. Lemarsh St.,HUD Section 202/811 – Project Rental Assistance Contract (PRAC),42855,12,12,Yes,Rental Subsidy Termination
Figueroa Gardens,4550 N. Figueroa St.,HUD Project-Based Section 8 Rental Assistance (PBRA),42886,88,88,No,Rental Subsidy Termination
Casa Serena,5017 E. Axtell St.,HUD Project-Based Section 8 Rental Assistance (PBRA),42886,29,29,Yes,Rental Subsidy Termination
St Nicholas Hsg Proj,10220 Aqueduct Ave.,HUD Project-Based Section 8 Rental Assistance (PBRA),42886,36,36,Yes,Rental Subsidy Termination
Glenoaks Townhomes,14300 W. Foothill Blvd.,HUD Project-Based Section 8 Rental Assistance (PBRA),42905,48,48,No,Rental Subsidy Termination
111 W. Macy Apts,111 W. Cesar E. Chavez Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42909,18,18,No,Restriction Expiration
Miramar Manor 2/2,1430 Miramar St.,HUD Project-Based Section 8 Rental Assistance (PBRA),42916,24,24,No,Rental Subsidy Termination
Miramar Manor 1/2,1422 Miramar St.,HUD Project-Based Section 8 Rental Assistance (PBRA),42916,25,25,No,Rental Subsidy Termination
80Th Street Apts,710 W. 80Th St.,HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,42742,16,16,No,Mortgage Maturity/ Prepayment
Casa Central,1100 E. 32Nd St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42923,6,6,No,Restriction Expiration
Headway House,8500 N. Shirley Ave.,HUD Section 202/811 – Project Rental Assistance Contract (PRAC),42947,5,3,Yes,Rental Subsidy Termination
Jewish Family Service,827 S. Gramercy Place,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),42743,35,35,No,Restriction Expiration
"Homing, Inc.",7816 Crenshaw Blvd,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43077,3,3,No,Restriction Expiration
S. Norton Avenue,1121 S. Norton Ave.,California Low-Income Housing Tax Credit Program (LIHTC),43100,20,20,No,Restriction Expiration
St. Vincent De Paul Society,231 Winston Street,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43101,70,70,No,Restriction Expiration
"Arminta North/South#1
- 1 Loan/2 Parcels",11051 Arminta Street,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43101,20,12,No,Restriction Expiration
Maehara Oregon Bldg. & Hotel,220 E. 1St Street,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43101,22,12,No,Restriction Expiration
Villa Ramos I & Ii (Bonnie Brae Apts.),417 N. Bonnie Brae St.,California Housing and Community Development Multifamily Housing Programs (HCD),43221,44,44,No,Restriction Expiration
244 East Colden Avenue,244 East Colden Avenue,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),43121,4,4,No,Restriction Expiration
Watts Arms I,"1720 E. Century Blvd.
/ 10130 S. Beach",HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,43102,104,104,No,Mortgage Maturity/ Prepayment
319 North Fickett Street,319 North Fickett Street,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),43222,3,3,No,Restriction Expiration
4248 Halldale Avenue,4248 Halldale Avenue,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),43179,4,4,No,Restriction Expiration
4424 Stanford Avenue,4424 Stanford Avenue,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),43180,4,4,No,Restriction Expiration
10914 Avalon Boulevard,10914 Avalon Boulevard,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),43186,4,4,No,Restriction Expiration
Grand View Apartments,426 S. Grandview Street,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43190,27,27,No,Restriction Expiration
New Hope Ctyrd Los Angeles,4752 E. Huntington Dr.,HUD Section 202/811 – Project Rental Assistance Contract (PRAC),43220,15,14,Yes,Rental Subsidy Termination
Progressive Home For The Elderly,7010 S. Denver Ave.,HUD Section 202 Supportive Housing for the Elderly,43105,141,111,Yes,Mortgage Maturity/ Prepayment
Charles Lockhart,8325 South Avalon Boulevard,California Housing and Community Development Multifamily Housing Programs (HCD),43409,10,10,No,Restriction Expiration
Dunbar Hotel,4225 S. Central Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43239,73,73,Yes,Restriction Expiration
227 East 78Th Street,227 East 78Th Street,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),43137,3,3,No,Restriction Expiration
Arminta Square,11050 W. Arminta St.,Los Angeles Housing and Community Investment Department (HCIDLA) - Earthquake (EQ),43196,46,46,No,Restriction Expiration
1605 West Vernon Avenue,1605 West Vernon Avenue,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),43440,4,4,No,Restriction Expiration
621 North Cummings Street,621 North Cummings Street,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),43440,4,4,No,Restriction Expiration
Gay & Lesbian Comm. Group Home,1816 N. Wilton,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43278,6,6,No,Restriction Expiration
New Vision,7927 Lindley Ave,HUD Section 202/811 – Project Rental Assistance Contract (PRAC),43281,12,12,Yes,Rental Subsidy Termination
Golden West Hotel,417 E. 5Th Street,California Housing and Community Development Multifamily Housing Programs (HCD),43295,61,61,No,Restriction Expiration
Ward Hotel (Part Ii),512 S. Wall Street (Scattered),Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43299,35,35,No,Restriction Expiration
2407 East 1St Street,2407 East 1St Street,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),43259,5,5,No,Restriction Expiration
438 South Evergreen Street,438 South Evergreen Street,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),43259,4,4,No,Restriction Expiration
Villa Nueva,1722 S. Toberman St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43381,20,20,No,Restriction Expiration
Genesis Hotel (Pennsylvania),452 S. Main St.,California Housing and Community Development Multifamily Housing Programs (HCD),43412,33,29,No,Restriction Expiration
Breed Street Residence (L.a. Family Housing Corp),207 N. Breed St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43334,20,20,No,Restriction Expiration
151 East 62Nd Street,151 East 62Nd Street,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),43413,3,3,No,Restriction Expiration
Casa Panorama Tower,14555 W. Osborne St.,California Housing Finance Agency Multifamily Housing Programs (CalHFA),43361,153,153,Yes,Restriction Expiration
Children’s Shelter,252 S. Rampart Blvd.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43365,12,6,No,Restriction Expiration
Garden Villas,5530 Klump Avenue,HUD Section 202/811 – Project Rental Assistance Contract (PRAC),43373,25,24,Yes,Rental Subsidy Termination
Portal Community Connection,3881 S Western Ave,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43398,14,14,No,Restriction Expiration
Madison Sr,1145 N. Madison Ave,HUD Section 202/811 – Project Rental Assistance Contract (PRAC),43404,70,69,Yes,Rental Subsidy Termination
Hayward Manor Hotel,202 W. 6Th St.,Housing Authority of the City of Los Angeles (HACLA) - Project-Based Voucher Program (PBV),40561,525,459,No,Rental Subsidy Termination
4420 Stanford Avenue,4420 Stanford Avenue,Los Angeles Housing and Community Investment Department (HCIDLA) - Multifamily Rehab Program (EHOP),40926,4,4,No,Restriction Expiration
Henderson Apartments,1703 W. 24Th St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43452,8,8,No,Restriction Expiration
"Arminta North/South#2
- 1 Loan/2 Parcels",11038 Arminta Street (+11551),California Low-Income Housing Tax Credit Program (LIHTC),43465,40,12,No,Restriction Expiration
Virginia Avenue Apts,5623 W. Virginia Ave.,California Low-Income Housing Tax Credit Program (LIHTC),43465,28,20,No,Restriction Expiration
Midcities,835 S. Oxford Ave.,California Low-Income Housing Tax Credit Program (LIHTC),43465,59,59,No,Restriction Expiration
Pico Union Ii Scatteresd Sites (Nuevo Pico  Union Apartments),"1032 Beacon,1655-1659
11Th Pl,1335-1139 17Th
St, 1349 Westlake",Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43466,16,16,No,Restriction Expiration
Wilshire Christian Manor,616 S. Normandie Ave.,HUD Section 202 Supportive Housing for the Elderly,43466,288,117,Yes,Mortgage Maturity/ Prepayment
515 W. 90Th Apts,515 W. 90Th St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43466,8,8,No,Restriction Expiration
La Jolla Hotel,721 E. 6Th Street,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43485,53,53,No,Restriction Expiration
La Jolla Hotel (Part Ii),721 E. 6Th Street (Scattered),Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43485,35,35,No,Restriction Expiration
Sunshine Mission,2600 S. Hoover,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43492,73,73,No,Restriction Expiration
Casa De Rosas,2600 South Hoover Street,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43492,71,55,No,Restriction Expiration
Casa Familia Iii,730 E. Adams Street ( 726 E. Adams St),Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43467,8,8,No,Restriction Expiration
Buena Vista,1423 N. Broadway,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43498,20,20,No,Restriction Expiration
Sunflower 87Th Street,138 E. 87Th St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43498,10,10,No,Restriction Expiration
Pico Union Villa,1200 S. Union Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43517,115,115,Yes,Restriction Expiration
Strathern Park Apts,11111 W. Strathern St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43555,170,169,No,Restriction Expiration
"Terminal Hotel/ Ro,Chae & Chin",1331 E. 7Th Street,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43742,66,66,No,Restriction Expiration
Ward Hotel,512 S. Wall St.,California Housing and Community Development Multifamily Housing Programs (HCD),43591,75,75,No,Restriction Expiration
Gay & Lesbian Adolescent,1808 S. St. Andrews Place,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43643,6,6,No,Restriction Expiration
Roscoe Park Apartments,21023 W. Roscoe Blvd.,HUD Project-Based Section 8 Rental Assistance (PBRA),43677,82,82,No,Rental Subsidy Termination
Reseda East,18450 W. Ingomar St.,California Housing Finance Agency Multifamily Housing Programs (CalHFA),43685,70,70,Yes,Restriction Expiration
Reseda Manor,7725 N. Reseda Blvd.,California Housing Finance Agency Multifamily Housing Programs (CalHFA),43808,40,40,Yes,Restriction Expiration
Watts Arms Ii,"1720 E. Century Blvd.
/ 10130 S. Beach",HUD Section 236 (J)(1) Assisted Mortgage Insurance Program,40197,40,40,Yes,Mortgage Maturity/ Prepayment
Gay & Lesbian Adolescent,2254 W. 25Th St,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),40256,12,12,No,Restriction Expiration
"Beyond Shelter (1455
E. 23Rd St Apts)",1455 E. 23Rd St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43755,2,2,No,Restriction Expiration
Buchanan Street House (Group Home),4902 Buchanan Street,California Housing and Community Development Multifamily Housing Programs (HCD),43812,5,5,No,Restriction Expiration
1354 W. 25Th St Apts,1354 W. 25Th St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43812,2,2,No,Restriction Expiration
Burlington Arms,817 S. Burlington Ave.,California Housing Finance Agency Multifamily Housing Programs (CalHFA),43820,54,54,No,Restriction Expiration
Roy Aberdeen,1115 Valencia St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43829,4,4,No,Restriction Expiration
Marengo Street Apts,2649 E. Marengo St.,California Low-Income Housing Tax Credit Program (LIHTC),43830,24,24,No,Restriction Expiration
Flores Apartments,1507 W. Pico Blvd.,California Low-Income Housing Tax Credit Program (LIHTC),43830,26,26,No,Restriction Expiration
1513 W. Pico Blvd.,1513 W. Pico Blvd.,California Low-Income Housing Tax Credit Program (LIHTC),43830,32,32,No,Restriction Expiration
Casa Pico Union Ii 3/7,1420 S. Toberman St,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43831,6,6,No,Restriction Expiration
Yorkshire Terrace Apts.,1033 S. Burlington Ave.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43831,18,18,No,Restriction Expiration
Homestead (Pacific Living Alternatives),16020 Gresham St,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43831,12,12,Yes,Restriction Expiration
Eleventh Avenue Apartments,6720 11Th Avenue,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43831,22,22,No,Restriction Expiration
Casa Pico Union Ii 7/7,1432 S. Valencia St,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43831,4,4,No,Restriction Expiration
Casa Pico Union Ii 6/7,1401 S. Toberman St,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43831,4,4,No,Restriction Expiration
Casa Pico Union I 2/7,1132 W. 18Th Street,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43831,6,6,No,Restriction Expiration
Casa Pico Union Ii 4/7,1344 S. Toberman St,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43831,4,4,No,Restriction Expiration
Pico Union Manor- Pu Terrace,1542 W. 11Th Pl.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43831,8,8,No,Restriction Expiration
Casa Pico Union Ii 2/7,1420 S. Union Ave,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43831,4,4,No,Restriction Expiration
Casa Pico Union I 7/7,1808 S. Burlington St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43831,1,1,No,Restriction Expiration
Casa Pico Union I 3/7,1705 S. Union Avenue,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43831,12,12,No,Restriction Expiration
Casa Pico Union I 6/7,1115 W. 18Th Street,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43831,1,1,No,Restriction Expiration
Casa Pico Union Ii 1/7,1317 S. Toberman St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43831,16,16,No,Restriction Expiration
Casa Pico Union I 5/7,1619 S. Union Avenue,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43831,6,6,No,Restriction Expiration
Casa Pico Union I 4/7,1103 W. 17Th Street,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43831,2,2,No,Restriction Expiration
Casa Pico Union Ii 5/7,1550 W. 14Th St,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43831,3,3,No,Restriction Expiration
2500 Hobart Apts,2500 S Hobart Blvd.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),44166,52,52,No,Restriction Expiration
Bartlett Hill Manor/ Bunker Hill Ave,816 Bartlett,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43845,65,65,No,Restriction Expiration
1462 Playground Street Apts,1462 Playground Street,Los Angeles Housing and Community Investment Department (HCIDLA) - Neighborhood Preservation Program (NPP),43861,5,5,No,Restriction Expiration
E. Victor Villa,555 W. 92Nd St.,HUD Section 202 Supportive Housing for the Elderly,43832,46,42,Yes,Mortgage Maturity/ Prepayment
"Villa Encanto Apts (Dolores Frances Affordable, Pico- Union Housing Corp)",1408 W. 11Th St,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43832,18,16,No,Restriction Expiration
Casa Pico Union I 1/7,1102 W. 17Th St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43832,16,16,No,Restriction Expiration
Pico Union Square Ii,1430 S. Toberman St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43882,8,8,No,Restriction Expiration
Pico Union Square I,1421 S. Toberman St.,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43882,10,10,No,Restriction Expiration
Grand View Terrace,3940 S. Grand View Blvd,California Housing Finance Agency Multifamily Housing Programs (CalHFA),43890,191,190,Yes,Restriction Expiration
Miramar Towers,2000 W. Miramar St.,California Housing Finance Agency Multifamily Housing Programs (CalHFA),43914,157,156,No,Restriction Expiration
Alcoholism Center For Women,1135 S. Alvarado St,Community Redevelopment Agency of the City of Los Angeles Housing Programs (CRA/LA),43946,22,22,No,Restriction Expiration
